event_match_index,event_origin_col_index,shot_context,event_angle,event_end_x,receiver_name,assisted_shot,event_x,possession_loss,account_id,qualifier_pass_height,shot_outcome,qualifier_cross,opponent_team_name,shot_angle,shot_distance,season_id,key_pass_type,opponent_team_id,event_end_cell_number,event_id,event_end_y,event_y,home_team_name,match_date,competition_name,event_end_col_index,passer_id,team_score,home_game,passer_name,event_origin_cell_number,event_minute,receiver_id,opposition_score,possession_xg_total,qualifier_own_goal,competition_id,match_id,body_part,play_type,possession_index,period_id,event_origin_row_index,under_pressure,team_id,event_length,away_team_name,event_type,off_camera,team_name,season_name,event_outcome,event_end_row_index,shot_xg
948,2,Open Play,null,null,null,FALSE,5.2683334,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849858010,null,45.71,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14176190,0,FALSE,Sofia Manner,27,19,null,0,0,FALSE,2460,9790467,Other,Open Play,42,1,5,FALSE,812581,null,Honka W,shot_faced,FALSE,Honka W,2023,FALSE,null,0
3705,1,Open Play,null,null,null,FALSE,18.139286,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860767,null,65.097084,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14165188,2,FALSE,Milla Punsar,21,98,null,1,0,FALSE,2460,9790467,Head,Open Play,209,2,4,TRUE,812581,null,Honka W,clearance,FALSE,Honka W,2023,TRUE,null,0
3691,3,Open Play,0.17834236,60.646427,Ada Eronen,FALSE,24.032143,in-play,18028,High Pass,None,FALSE,HPS,null,null,1107,Other,942463,13,1849860753,26.79125,37.79,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14183719,2,FALSE,Iida Kainulainen,23,97,14176196,1,0,FALSE,2460,9790467,Right Foot,Open Play,208,2,4,TRUE,812581,47.35103,Honka W,pass,FALSE,Honka W,2023,FALSE,2,0
3689,3,Open Play,null,24.032143,null,FALSE,20.417856,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,23,1849860751,37.79,38.318,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14183719,2,FALSE,Iida Kainulainen,23,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,4,TRUE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
3688,3,Open Play,null,null,null,FALSE,20.417856,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860750,null,38.318,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14183719,2,FALSE,Iida Kainulainen,23,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3683,2,Open Play,5.7536793,56.325,null,FALSE,22.225,in-play,18028,High Pass,None,FALSE,HPS,null,null,1107,Other,942463,11,1849860745,73.862915,40.43,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,1,14176197,2,FALSE,Annika Idman,22,97,null,1,0,FALSE,2460,9790467,Left Foot,Open Play,208,2,4,FALSE,812581,50.28638,Honka W,pass,FALSE,Honka W,2023,FALSE,2,0
3682,3,Open Play,null,22.225,null,FALSE,21.439285,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,22,1849860744,40.43,37.394,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,2,14176197,2,FALSE,Annika Idman,23,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,4,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
3681,3,Open Play,null,null,null,FALSE,21.439285,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860743,null,37.394,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14176197,2,FALSE,Annika Idman,23,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3670,1,Open Play,0.11514675,55.460712,Ada Eronen,FALSE,10.3125,in-play,18028,High Pass,None,FALSE,HPS,null,null,1107,Other,942463,12,1849860732,51.65,60.23,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,2,14176190,2,FALSE,Sofia Manner,26,97,14176196,1,0,FALSE,2460,9790467,Left Foot,Open Play,207,2,5,FALSE,812581,56.574642,Honka W,pass,FALSE,Honka W,2023,FALSE,2,0
3669,1,Open Play,null,10.3125,null,FALSE,8.6025,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,26,1849860731,60.23,61.814,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,1,14176190,2,FALSE,Sofia Manner,26,97,null,1,0,FALSE,2460,9790467,Other,Open Play,207,2,5,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,5,0
3667,1,Open Play,3.0147266,8.6025,Sofia Manner,FALSE,25.289286,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Other,942463,26,1849860729,61.814,65.097084,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,1,14176186,2,FALSE,Noora Hämäläinen,21,97,14176190,1,0,FALSE,2460,9790467,Right Foot,Open Play,207,2,4,TRUE,812581,19.758795,Honka W,pass,FALSE,Honka W,2023,TRUE,5,0
